mnc,year,geographic_score,completness_score,transparency_score
BHP,2021,100.0,83.33333333333334,91.66666666666667
BIOCON,2021,99.30489636160337,100.0,99.65244818080168
BONAVA,2019,100.0,75.0,87.5
BONAVA,2020,100.0,75.0,87.5
BONAVA,2021,0.0,0.0,0.0
BONAVA,2022,0.0,0.0,0.0
BP,2019,82.86339166087545,100.0,91.43169583043772
BP,2020,84.46601855516438,100.0,92.2330092775822
BP,2021,82.85204347242129,100.0,91.42602173621064
BP,2022,87.0346356861708,100.0,93.51731784308541
BT,2017,100.0,58.333333333333336,79.16666666666667
BT,2018,100.0,58.333333333333336,79.16666666666667
BT,2019,100.0,58.333333333333336,79.16666666666667
BT,2020,100.0,58.333333333333336,79.16666666666667
BT,2021,100.0,58.333333333333336,79.16666666666667
BUZZI UNICEM,2019,100.0,100.0,100.0
BUZZI UNICEM,2020,100.0,100.0,100.0
BUZZI UNICEM,2021,100.0,100.0,100.0
BW ENERGY,2022,100.0,41.66666666666667,70.83333333333334
CANACOL,2020,100.0,75.0,87.5
CANACOL,2021,100.0,75.0,87.5
CASTELLUM,2020,100.0,66.66666666666666,83.33333333333333
CASTELLUM,2021,100.0,66.66666666666666,83.33333333333333
CASTELLUM,2022,100.0,66.66666666666666,83.33333333333333
CELLNEX,2019,84.62680577849117,8.333333333333332,46.48006955591225
CELLNEX,2020,96.62505718374686,41.66666666666667,69.14586192520676
CELLNEX,2021,100.0,41.66666666666667,70.83333333333334
CELLNEX,2022,100.0,58.333333333333336,79.16666666666667
CELSA,2021,93.9631249584453,50.0,71.98156247922265
CEMBRE,2020,100.0,83.33333333333334,91.66666666666667
CEMBRE,2021,100.0,83.33333333333334,91.66666666666667
CIPLA,2021,92.30698503033346,100.0,96.15349251516673
CIPLA,2022,91.00607401981192,100.0,95.50303700990597
CIPLA,2023,91.04052770383309,100.0,95.52026385191655
COLOPLAST,2021,70.25215080906493,66.66666666666666,68.4594087378658
CORWIN,2019,100.0,33.33333333333333,66.66666666666666
CORWIN,2020,100.0,33.33333333333333,66.66666666666666
CORWIN,2021,100.0,33.33333333333333,66.66666666666666
CSL,2020,100.0,50.0,75.0
CYIENT,2021,100.0,100.0,100.0
DIASORIN,2020,100.0,83.33333333333334,91.66666666666667
DIASORIN,2021,100.0,83.33333333333334,91.66666666666667
DISCOVERY,2022,100.0,100.0,100.0
DNO,2016,94.94451294697903,33.33333333333333,64.13892314015618
DNO,2017,94.7310647639956,33.33333333333333,64.03219904866447
DNO,2018,85.6298400462991,58.333333333333336,71.98158668981621
DNO,2019,92.03526008967258,66.66666666666666,79.35096337816961
DNO,2020,92.67074359085733,58.333333333333336,75.50203846209533
DNO,2021,92.29866164068072,58.333333333333336,75.31599748700702
DNO,2022,91.54794398422015,58.333333333333336,74.94063865877675
DSM,2021,53.61114311428119,50.0,51.805571557140595
DUNDEE,2020,100.0,58.333333333333336,79.16666666666667
DUNDEE,2022,100.0,58.333333333333336,79.16666666666667
DURATEX,2020,100.0,66.66666666666666,83.33333333333333
ECOPETROL,2019,100.0,41.66666666666667,70.83333333333334
ECOPETROL,2020,97.67268452804622,58.333333333333336,78.00300893068977
ECOPETROL,2021,100.0,58.333333333333336,79.16666666666667
ECOPETROL,2022,100.0,58.333333333333336,79.16666666666667
EISAI,2019,100.0,58.333333333333336,79.16666666666667
EISAI,2020,100.0,58.333333333333336,79.16666666666667
EISAI,2021,100.0,58.333333333333336,79.16666666666667
EL CORTE INGLÉS,2021,100.0,75.0,87.5
EL CORTE INGLÉS,2022,100.0,75.0,87.5
EMPRESAS COPEC,2020,95.98212815884388,41.66666666666667,68.82439741275527
ENAGAS,2020,100.0,83.33333333333334,91.66666666666667
ENAGAS,2021,100.0,83.33333333333334,91.66666666666667
ENAV,2018,100.0,83.33333333333334,91.66666666666667
ENAV,2019,100.0,83.33333333333334,91.66666666666667
ENAV,2020,100.0,83.33333333333334,91.66666666666667
ENAV,2021,100.0,83.33333333333334,91.66666666666667
ENAV,2022,100.0,83.33333333333334,91.66666666666667
ENDESA,2019,100.0,91.66666666666666,95.83333333333333
ENDESA,2020,100.0,91.66666666666666,95.83333333333333
ENDESA,2021,100.0,66.66666666666666,83.33333333333333
ENDESA,2022,100.0,66.66666666666666,83.33333333333333
ENEL,2017,100.0,50.0,75.0
ENEL,2018,100.0,50.0,75.0
ENEL,2019,98.72784434859683,50.0,74.36392217429841
ENEL,2020,97.71198339962574,83.33333333333334,90.52265836647953
ENEL,2021,96.75944325956928,100.0,98.37972162978464
ENEL,2022,95.89240241860342,100.0,97.9462012093017
ENI,2017,100.0,100.0,100.0
ENI,2018,100.0,100.0,100.0
ENI,2019,100.0,100.0,100.0
ENI,2020,100.0,100.0,100.0
ENI,2021,100.0,100.0,100.0
ENI,2022,100.0,83.33333333333334,91.66666666666667
EQUINOR,2020,100.0,58.333333333333336,79.16666666666667
EQUINOR,2021,100.0,83.33333333333334,91.66666666666667
EQUINOR,2022,100.0,83.33333333333334,91.66666666666667
ERG,2020,100.0,83.33333333333334,91.66666666666667
ERG,2021,100.0,66.66666666666666,83.33333333333333
ESPRINET,2019,100.0,91.66666666666666,95.83333333333333
ESPRINET,2020,100.0,91.66666666666666,95.83333333333333
ESPRINET,2021,100.0,91.66666666666666,95.83333333333333
ESSITY,2020,93.48742554450601,25.0,59.243712772253005
ESSITY,2021,93.38143108986603,25.0,59.19071554493301
EVRAZ,2020,100.0,83.33333333333334,91.66666666666667
EVRAZ,2021,100.0,83.33333333333334,91.66666666666667
EXXARO,2021,100.0,41.66666666666667,70.83333333333334
FALCK RENEWABLES,2020,100.0,100.0,100.0
FCF MINERALS,2020,100.0,58.333333333333336,79.16666666666667
FCF MINERALS,2021,100.0,58.333333333333336,79.16666666666667
FEDRIGONI,2021,100.0,83.33333333333334,91.66666666666667
FERALPI,2020,98.31922362582485,83.33333333333334,90.82627847957909
FERALPI,2021,86.14519721867941,83.33333333333334,84.73926527600638
FERROVIAL,2019,100.0,83.33333333333334,91.66666666666667
FERROVIAL,2020,100.0,83.33333333333334,91.66666666666667
FERROVIAL,2021,100.0,83.33333333333334,91.66666666666667
FERROVIE DELLO STATO ITALIANE,2018,100.0,83.33333333333334,91.66666666666667
FERROVIE DELLO STATO ITALIANE,2019,100.0,83.33333333333334,91.66666666666667
FERROVIE DELLO STATO ITALIANE,2020,100.0,83.33333333333334,91.66666666666667
FERROVIE DELLO STATO ITALIANE,2021,100.0,83.33333333333334,91.66666666666667
FILA,2020,0.0,33.33333333333333,16.666666666666664
FILA,2021,0.0,33.33333333333333,16.666666666666664
FILA,2022,0.0,33.33333333333333,16.666666666666664
FINNAIR,2021,98.27811423821399,33.33333333333333,65.80572378577367
FINNAIR,2022,98.438573480732,33.33333333333333,65.88595340703267
FORTUM,2018,92.84460047164393,41.66666666666667,67.2556335691553
FORTUM,2019,95.05562947078884,41.66666666666667,68.36114806872776
FORTUM,2020,94.4266629273696,41.66666666666667,68.04666479701814
FORTUM,2021,98.59775358003243,58.333333333333336,78.46554345668288
FORTUM,2022,99.51647189452207,58.333333333333336,78.9249026139277
GENERALI,2021,96.78938173102902,58.333333333333336,77.56135753218118
GEOPARK,2019,100.0,16.666666666666664,58.33333333333333
GEOPARK,2020,100.0,16.666666666666664,58.33333333333333
GEOPARK,2021,100.0,16.666666666666664,58.33333333333333
GRUNDFOS,2020,100.0,83.33333333333334,91.66666666666667
GRUNDFOS,2022,100.0,83.33333333333334,91.66666666666667
GVS,2020,100.0,83.33333333333334,91.66666666666667
HEIMSTADEN,2020,100.0,83.33333333333334,91.66666666666667
HEIMSTADEN,2021,100.0,83.33333333333334,91.66666666666667
HESS CORPORATION,2020,100.0,83.33333333333334,91.66666666666667
HESS CORPORATION,2021,100.0,83.33333333333334,91.66666666666667
HYDRO,2018,99.21688564112006,66.66666666666666,82.94177615389336
HYDRO,2019,99.13297847958935,66.66666666666666,82.899822573128
HYDRO,2020,98.64709900512868,66.66666666666666,82.65688283589768
HYDRO,2022,99.04604516004024,66.66666666666666,82.85635591335344
IBERDROLA,2019,100.0,100.0,100.0
IBERDROLA,2020,100.0,83.33333333333334,91.66666666666667
IBERDROLA,2021,100.0,83.33333333333334,91.66666666666667
IBERDROLA,2022,100.0,83.33333333333334,91.66666666666667
IBEROSTAR,2019,95.38321186770331,33.33333333333333,64.35827260051832
IBEROSTAR,2020,99.78284133773741,33.33333333333333,66.55808733553536
IKEA,2022,100.0,66.66666666666666,83.33333333333333
INDITEX,2018,93.32269837752402,33.33333333333333,63.328015855428674
INDITEX,2019,91.71261421098336,33.33333333333333,62.522973772158345
INDITEX,2020,91.00167800476834,33.33333333333333,62.16750566905083
INDITEX,2021,81.76745157076587,25.0,53.383725785382936
INDITEX,2022,90.37166924184493,25.0,57.68583462092246
INDRA,2019,100.0,33.33333333333333,66.66666666666666
INDRA,2020,100.0,58.333333333333336,79.16666666666667
INDRA,2021,100.0,58.333333333333336,79.16666666666667
INPOST,2020,99.93839797578029,75.0,87.46919898789014
INPOST,2021,99.96624792169824,75.0,87.48312396084913
INPOST,2022,100.0,58.333333333333336,79.16666666666667
INSUD PHARMA,2020,100.0,33.33333333333333,66.66666666666666
INSUD PHARMA,2021,100.0,33.33333333333333,66.66666666666666
INTERPUMP,2020,47.24335886252417,75.0,61.12167943126208
INTERPUMP,2021,100.0,100.0,100.0
ITAU UNIBANCO,2022,99.94543573671426,58.333333333333336,79.1393845350238
KESKO,2022,100.0,83.33333333333334,91.66666666666667
KPN,2019,99.94905944879768,83.33333333333334,91.6411963910655
KPN,2020,100.0,83.33333333333334,91.66666666666667
KPN,2021,100.0,83.33333333333334,91.66666666666667
KPN,2022,100.0,83.33333333333334,91.66666666666667
L&G,2017,99.65141612200436,16.666666666666664,58.15904139433552
L&G,2018,99.88306828811974,33.33333333333333,66.60820081072654
L&G,2019,99.92917847025495,33.33333333333333,66.63125590179413
L&G,2020,99.97507477567298,33.33333333333333,66.65420405450315
L&G,2021,99.80386334068669,33.33333333333333,66.56859833701
L&G,2022,99.92500937382827,33.33333333333333,66.6291713535808
LEONARDO,2018,92.36933954876748,83.33333333333334,87.85133644105042
LEONARDO,2019,94.26321706504872,83.33333333333334,88.79827519919104
LEONARDO,2020,88.95861543539966,83.33333333333334,86.1459743843665
LEONARDO,2021,94.29512879483111,83.33333333333334,88.81423106408224
LU-VE,2021,100.0,83.33333333333334,91.66666666666667
LUPIN LIMITED,2022,88.25404962158497,100.0,94.12702481079248
LUSH,2019,96.3566846568838,75.0,85.6783423284419
LUSH,2020,97.15735575635459,75.0,86.0786778781773
LUSH,2021,97.31150737693869,75.0,86.15575368846935
MAPFRE,2019,100.0,50.0,75.0
MEGA HOLDINGS,2020,91.41222766494604,50.0,70.70611383247302
MEGA HOLDINGS,2021,98.45888545217777,50.0,74.22944272608888
MEIJI,2017,95.35697925528434,16.666666666666664,56.01182296097551
MEIJI,2018,94.52324543860189,16.666666666666664,55.594956052634274
MEIJI,2019,94.56558818126952,16.666666666666664,55.616127423968095
MEIJI,2020,93.82171587243252,16.666666666666664,55.24419126954959
MEIJI,2021,94.92918593783699,16.666666666666664,55.797926302251824
MELIA HOTELS,2020,100.0,33.33333333333333,66.66666666666666
MELIA HOTELS,2021,100.0,33.33333333333333,66.66666666666666
MOTOR OIL HELLAS,2022,100.0,100.0,100.0
MUNDYS,2022,99.40372332258578,83.33333333333334,91.36852832795955
MUNICH RE,2020,60.92318646043275,41.66666666666667,51.29492656354971
MUNICH RE,2021,99.49071206000941,41.66666666666667,70.57868936333804
NATIONAL GRID,2020,100.0,58.333333333333336,79.16666666666667
NATIONAL GRID,2021,100.0,58.333333333333336,79.16666666666667
NATIONAL GRID,2022,100.0,58.333333333333336,79.16666666666667
NEDBANK,2021,100.0,100.0,100.0
NEDBANK,2022,100.0,100.0,100.0
NEWMONT,2021,96.17884531005973,83.33333333333334,89.75608932169654
NEWMONT,2022,97.79544950041937,83.33333333333334,90.56439141687636
NH,2021,98.41638193337454,50.0,74.20819096668727
NH,2022,98.61729822594955,50.0,74.30864911297478
NN,2019,100.0,58.333333333333336,79.16666666666667
NN,2020,100.0,58.333333333333336,79.16666666666667
NN,2021,100.0,58.333333333333336,79.16666666666667
NN,2022,100.0,58.333333333333336,79.16666666666667
NORDGOLD,2020,100.0,75.0,87.5
NOVO HOLDINGS,2021,0.0,83.33333333333334,41.66666666666667
NTT,2018,93.9309404206262,41.66666666666667,67.79880354364644
NTT,2019,94.26821121975583,50.0,72.1341056098779
NTT,2020,94.50579541855636,50.0,72.25289770927819
OHLA,2022,85.74823395489899,33.33333333333333,59.54078364411616
OLD MUTUAL,2021,76.98326724670594,50.0,63.49163362335297
OMRON,2020,93.85902549793023,58.333333333333336,76.09617941563178
OMRON,2021,94.31472367949782,58.333333333333336,76.32402850641557
ORICA,2020,100.0,83.33333333333334,91.66666666666667
ORICA,2021,100.0,83.33333333333334,91.66666666666667
ØRSTED,2020,99.65533682461535,83.33333333333334,91.49433507897434
ØRSTED,2021,99.19705895856363,83.33333333333334,91.2651961459485
ØRSTED,2022,99.96879891679085,83.33333333333334,91.6510661250621
OTB,2020,0.0,66.66666666666666,33.33333333333333
OTB,2021,0.0,66.66666666666666,33.33333333333333
PANDORA,2021,100.0,66.66666666666666,83.33333333333333
PANDORA,2022,100.0,66.66666666666666,83.33333333333333
PANORO,2021,79.06663507323371,50.0,64.53331753661686
PARQUES REUNIDOS,2021,100.0,50.0,75.0
PEARSON,2019,90.42886531180439,50.0,70.21443265590219
PEARSON,2020,100.0,100.0,100.0
PEARSON,2021,100.0,100.0,100.0
PHILIPS,2020,100.0,83.33333333333334,91.66666666666667
PHILIPS,2021,100.0,83.33333333333334,91.66666666666667
PHILIPS,2022,100.0,83.33333333333334,91.66666666666667
PIAGGIO,2019,100.0,83.33333333333334,91.66666666666667
PIAGGIO,2020,100.0,83.33333333333334,91.66666666666667
PIAGGIO,2021,100.0,83.33333333333334,91.66666666666667
PIQUADRO,2021,100.0,83.33333333333334,91.66666666666667
PIQUADRO,2022,100.0,83.33333333333334,91.66666666666667
PRISA,2020,96.27513197550722,33.33333333333333,64.80423265442028
PRISA,2021,91.13606441267751,33.33333333333333,62.23469887300542
PRUDENTIAL,2018,98.02440546981467,50.0,74.01220273490733
PRUDENTIAL,2019,98.86852041432053,50.0,74.43426020716026
PRUDENTIAL,2020,97.458085982876,50.0,73.729042991438
PRUDENTIAL,2021,95.8955612473014,50.0,72.9477806236507
PRYSMIAN,2019,74.18593941172944,83.33333333333334,78.75963637253139
PRYSMIAN,2020,76.03160825539459,83.33333333333334,79.68247079436397
PRYSMIAN,2021,73.94507392252001,83.33333333333334,78.63920362792668
QIAGEN,2020,100.0,100.0,100.0
QIAGEN,2021,100.0,100.0,100.0
RADICI,2019,100.0,50.0,75.0
RADICI,2020,100.0,50.0,75.0
RADICI,2021,100.0,50.0,75.0
RANDSTAD,2019,100.0,83.33333333333334,91.66666666666667
RANDSTAD,2020,100.0,83.33333333333334,91.66666666666667
RANDSTAD,2021,100.0,83.33333333333334,91.66666666666667
RANDSTAD,2022,100.0,83.33333333333334,91.66666666666667
RECORDATI,2020,0.0,66.66666666666666,33.33333333333333
RECORDATI,2021,0.0,66.66666666666666,33.33333333333333
RECORDATI,2022,0.0,66.66666666666666,33.33333333333333
RED ELECTRICA,2020,100.0,33.33333333333333,66.66666666666666
RED ELECTRICA,2021,100.0,33.33333333333333,66.66666666666666
REPSOL,2018,100.0,100.0,100.0
REPSOL,2019,100.0,100.0,100.0
REPSOL,2020,100.0,100.0,100.0
REPSOL,2021,100.0,100.0,100.0
REPSOL,2022,100.0,100.0,100.0
RIO TINTO,2018,100.0,83.33333333333334,91.66666666666667
RIO TINTO,2019,100.0,83.33333333333334,91.66666666666667
RIO TINTO,2020,100.0,83.33333333333334,91.66666666666667
RIO TINTO,2021,100.0,83.33333333333334,91.66666666666667
ROYAL UNIBREW,2021,98.57176159862942,83.33333333333334,90.95254746598138
ROYAL UNIBREW,2022,96.84627044419906,83.33333333333334,90.0898018887662
SAES,2020,100.0,83.33333333333334,91.66666666666667
SAES,2021,100.0,83.33333333333334,91.66666666666667
SAIPEM,2021,0.0,75.0,37.5
